Product line Hitlist sequence,Product Line,Product Family,Product Model,Facility Name,Part No,Description,Net QTY, Overstock Unit Price 
,BOP Stacks,"BOP Stacks, Subsea",,West Little York,10622342-001,Subsea Connector;ThruDia 18 in;10M psi;ExF;ASH 13.5 in;OAH 35.125 in;Studded;18-3/4 x 10M,8,"$131,470.00 "
,BOP Stacks,"BOP Stacks, Subsea",,West Little York,10699423-001,"Valve, BOP Stack;Dual;Bore 3-1/16 in;WP 15M;Right Hand;Without Additional Inlay;Without Extended Outlet;Without Tail Rod Indicator",32,"$40,977.72 "
,BOP Stacks,"BOP Stacks, Subsea",,West Little York,10629378-001,"Flex Joint, BOP Stack;Rating 6.0k psi;Flange;Flange;Subsea, Lower Marine Riser Package",4,"$280,000.00 "
,BOP Stacks,"BOP Stacks, Subsea",,West Little York,10828222-001,"Beam, Proprietary;Integral Spreader, Weld Assembly, CS-240, 227mT;Rectangular;BOP Stacks;Matl AX010108",2,"$116,487.92 "
,BOP Stacks,,,West Little York,17851426-001,"Skid, Proprietary;SHIPPING SKID ASSY, LWR BOP STK;BOP Stacks",1,"$124,860.68 "
,BOP Stacks,"BOP Stacks, Subsea",,West Little York,10929612-001,"Component, Test Stump Assembly;Finish Machine;Fixed;Upper;Standard;Stump 27.00""H4",3,"$38,333.53 "
,BOP Stacks,,,West Little York,17850467-001,"Skid, Proprietary;SHIPPING SKID ASSY, LWR BOP STACK;BOP Stacks",1,"$88,687.50 "
,BOP Stacks,"BOP Stacks, Subsea",LMRP,West Little York,10654615-001,"Adapter, Proprietary;Big Boy SBOP, LMRP CS-240;BOP Stacks;Matl AX010108",2,"$42,676.43 "
,BOP Stacks,"BOP Stacks, Subsea",,West Little York,11332891-001,"Adapter, Proprietary;Wellhead Connector Centralizer;BOP Stacks;18-15M;OD 72.000 in x ID 63.750 in x Thk 24.060 in",2,"$27,525.70 "
,BOP Stacks,,,West Little York,17855478-100,"Spool, BOP Stack;Spacer-Straight;Flange;13-5/8 x 10M;Flange;Inlay CRA;L 20 in;Finish Machine",1,"$30,701.59 "
,BOP Stacks,"BOP Stacks, Subsea",,Houston Repair Center,11125909-001,"Body;Stab, Finish Machine, Glycol/Hydraulic;BOP Stacks;Matl 2205 Duplex Stainless;AX010239;Automated Gooseneck",1,"$74,078 "
6,Braking systems,,,Norway Repair Center,165113+71,LINED BRAKE BAND WELDMENT,12,"$1,463 "
7,Control Systems,,,Houston 529,18295488-001,Electro Kit;HPU;CABINET;CABINET;Zone 1;IECEX,2,"$48,622.31 "
,Control Systems,,,Houston 529,18052821-001,"Kit;Hardware;RIG UP System Controls;Power,Control & Instrumentation Systems;Hetronic Controllers",1,"$32,335.39 "
,Control Systems,"Control Rooms & Cabins, Offshore",HVAC-800,Houston 529,18006861-001,HVAC;HVAC-800;Room 1 Drillers Cabin,2,"$26,753.53 "
,Control Systems,,,Stavanger,18460440-001,MPD Control System;MPD;part of mpd cabinet assembly - prv control - with hydraulic,2,"$26,917.89 "
,Control Systems,,,Houston Repair Center,16981692-001,Control System;Integrated Controls;Multiple Models;Multiple Certifications;HMI ZONE 2 KIT WITH MOUNTING AND 200' CABLES;GENERAL HMI ZONE 2 KIT;Unknown;Unknown,1,"$47,340 "
8,"Crowns, Conventional",,,Galena Park,17956337-001,"Sub-Assembly, Conventional Crown;CROWN ASS'Y (750,000 HOOK LOAD)",2,"$10,000.00 "
9,Distribution and Conditioning Systems,,,Norway Repair Center,146232+71,"AXIAL PISTON PUMP, 355 CCM, W/CERTIFICATE",1,"$51,098 "
,Distribution and Conditioning Systems,,,Norway Repair Center,18608924-001,Valve Accessory;Sandwich Cap-NV;CoC,1,"$21,718 "
,Distribution and Conditioning Systems,,,Norway Repair Center,16628870-001,VALVE BLOCK,3,"$14,863 "
,Distribution and Conditioning Systems,,,Norway Repair Center,11478804-003,DIRECTIONAL VALVE 2/3 WAY 24V DC,2,"$6,417 "
,Distribution and Conditioning Systems,,,Norway Repair Center,198174+71,PRESSURE RELIEF VALVE LOW PRESSURE,8,"$2,592 "
,Distribution and Conditioning Systems,,,Norway Repair Center,18594133-001,"Valve Accessory;Special Locknut, Ø.586 Thread;No C",6,"$2,033 "
10,Diverter,,,West Little York,10669196-001,"Piper Valve Assembly;8 In X 7.062 In Bore, 8 In ANSI 300 RTJ, CRA",2,"$32,546.18 "
,Diverter,,,West Little York,11041850-001,"Piper Valve Assembly;18 In X 16.125"" Bore, W/18"" ANSI 300 RTJ,CRA",1,"$55,956.31 "
11,Drawworks,AC Electric Gear Driven Drawworks,DSGD-375,Houston 529,10806023-001,Drawworks Sub-Assembly;Drumshaft;DSGD-375,1,"$65,805.00 "
,Drawworks,,,Korea Ulsan,16598534-001,NOR WIP;Drawwork With Control System,1,"$2,500,418.33 "
,Drawworks,,,Korea Ulsan,16598537-001,NOR WIP;Drawwork With Control System,1,"$2,387,830.46 "
,Drawworks,,,Korea Ulsan,10637536-001,Gear;Helical;z 216;NDP 2.8;PA 25 °;HA 0 °;Matl Steel;ISO 5,2,"$61,915.08 "
,Drawworks,Active Heave Drawworks,,Kristiansand,16982685-001,DW Drilling Motor;858 KW;Air Cooled;Right JB;jb position unknown,1,"$104,524.42 "
,Drawworks,Active Heave Drawworks,,Kristiansand,16982689-001,DW Drilling Motor;858 KW;Air Cooled;Left JB;jb position unknown,1,"$104,524.42 "
,Drawworks,Active Heave Drawworks,,Kristiansand,16982688-001,DW Drilling Motor;858 KW;Air Cooled;Left JB;jb position unknown,1,"$104,524.42 "
,Drawworks,Active Heave Drawworks,,Kristiansand,16982691-001,DW Drilling Motor;858 KW;Air Cooled;Right JB;jb position unknown,1,"$104,524.42 "
,Drawworks,Active Heave Drawworks,,Kristiansand,16982687-001,DW Drilling Motor;858 KW;Air Cooled;Left JB;jb position unknown,1,"$104,524.42 "
,Drawworks,Active Heave Drawworks,,Kristiansand,16982696-001,DW Drilling Motor;858 KW;Air Cooled;Left JB;jb position unknown,1,"$104,524.42 "
,Drawworks,Active Heave Drawworks,,Kristiansand,16982704-001,DW Drilling Motor;858 KW;Air Cooled;Right JB;jb position unknown,1,"$104,524.42 "
,Drawworks,Active Heave Drawworks,,Kristiansand,16982686-001,DW Drilling Motor;858 KW;Air Cooled;Left JB;jb position unknown,1,"$104,524.42 "
,Drawworks,Rebuilt/Refurbished,,Montrose Repair Center,R/B52826,REBUILT MAGNET 7040,2,"$59,987 "
,Drawworks,,,Montrose Repair Center,6046086,HI SPROCKET ASSY,1,"$48,880 "
,Drawworks,,,Montrose Repair Center,656196,"Grooving;GROOVING, LEBUS;1.5in;Matl N/A;Drawworks;(CAST DRUM)",1,"$19,144 "
,Drawworks,,,Montrose Repair Center,68070795,9741 TWIN DISC DRIVING RING,1,"$18,653 "
,Drawworks,,,Montrose Repair Center,6046050,HOUSING BEARING,1,"$10,164 "
,Drawworks,,,Montrose Repair Center,2112003,"LEVER ASSEMBLY, SERVICE CALIPE",2,"$6,654 "
,Drawworks,,,Montrose Repair Center,7032A415-6,CLUTCH SPRAG,2,"$5,075 "
,Drawworks,,,Montrose Repair Center,30173396-4-R,CRADLE RELAY,6,"$1,999 "
,Drawworks,,,Montrose Repair Center,68068900,"LINING SET, CLUTCH, (SET OF 4)",12,"$1,084 "
12,GENERIC,,,Norway Repair Center,17921896-386,"	Screw, Cap;Socket Head;ISO 4762 (DIN 912);M39x4;L 230 mm;Partially Threaded;Matl Class 10.9 Steel *;Plain;Inspection Certificate 3.1 Acc. EN 10204;CVN 42J @ -27°C",96,$154 
13,Handling Tools,Power Tools,,Mexicali,10384242-001,"Kelly Spinner;KS6600;6.5/8"" API;Air Operated;PSL API 8C PSL1",2,"$25,600.00 "
,Handling Tools,Links,Weldless,West Little York,10490415-156,"Weldless Link;3.1/2"" x 180"";Rating 500 sTon / 453.6 tonne;Set of 2;PSL API 8C PSL2;#PL1 375.0 sTon;#PL2 375.0 sTon",4,"$31,370.00 "
,Handling Tools,Links,Weldless,West Little York,10115275-013,"Weldless Link;2.1/4"" x 132"";Rating 250 sTon / 226.8 tonne;Set of 2;PSL API 8C PSL2;#PL1 187.5 sTon;#PL2 187.5 sTon;Matl MS00003 Grade A",5,"$18,840.00 "
,Handling Tools,Links,Weldless,West Little York,10044677-031,"Weldless Link;5.1/2"" x 180"";Rating 1000 sTon / 907.2 tonne;Set of 2;PSL API 8C PSL2;#PL1 750.0 sTon;#PL2 750.0 sTon;Matl MS00003 Grade A",1,"$79,800.00 "
,Handling tools,,,Norway Repair Center,142056+71,HYDRA TONG STABBING GUIDE COMPLETE,1,"$20,434 "
,Handling tools,,,Norway Repair Center,202839-1,MANIFOLD SYMPLIFIED HYDRAULICS ASSY,7,"$9,202 "
,Handling tools,,,Norway Repair Center,202021-1,SPEC. ROTARY LINK BLOCK ASS'Y,10,"$3,727 "
,Handling tools,,,Norway Repair Center,201612-8,CAM VALVE W BASE PLATE ASSY TRIGGER FINGER BX ELEV,8,"$2,580 "
,Handling tools,,,Norway Repair Center,201564-1,"HINGE PIN DOOR ASSY, BX,",9,"$1,395 "
,Handling tools,,,Norway Repair Center,202800,"TRIGGER FINGER ASSY BX#4, 9 5/8"" - 14"" ELEVATOR",8,"$1,377 "
,Handling tools,,,Norway Repair Center,203222-1,CYLINDER BRACKET W.BUSHINGS,37,$355 
,Handling tools,,,Norway Repair Center,201560-2,BUSHING HINGE PIN BX ELEVATOR,65,$173 
,Handling Tools ,Power Slips,PS-30,Etten-Leur,10023617-501,"Slip;2.3/8"" - 10.3/4"";PS30;Assembly;Rating 350 sTon / 317.5 tonne;PSL API 7K Latest Edition;#PL1 525 sTon;Without Insert Carriers",2,"$51,240.00 "
14,Hydraracker,,,Norway Repair Center,17869168-003,"FIXED HEAD LUG, MAIN ARM, DNV, RAL 1006",2,"$8,505 "
15,Hydraulic & Pneumatic Equipment,,,Norway Repair Center,37684,HYDR. CYLINDER D160/63,1,"$12,995 "
,Hydraulic & Pneumatic Equipment,,,Norway Repair Center,11088419-003,"SPECIAL CYLINDER 125/100, RAL1006",9,"$9,633 "
,Hydraulic & Pneumatic Equipment,,,Norway Repair Center,11069463-003,"HYDR. CYLINDER 80/50, RAL 1006",6,"$5,717 "
16,Hydraulic Catheads,,,Kristiansand,17755588-001,Cathead;Hydraulic Cathead Main Well,1,"$42,566.00 "
,Hydraulic Catheads,,,Kristiansand,16119696-001,NOR WIP;-;-;D1103;HYDRAULIC CATHEAD;G5926;Hydraulic Catheads;H5900,1,"$39,932.00 "
,Hydraulic Catheads,,,Kristiansand,16118797-001,NOR WIP;-;-;D1103;HYDRAULIC CATHEAD;G3713;Hydraulic Cathead (ON HOLD);H3700,1,"$25,283.10 "
,Hydraulic Catheads,,HC-26,Mexicali,10379014-001,Kit;General;Manual Control;Hydraulic Catheads;HC-26,1,"$30,593.63 "
17,Hydraulic Power Units,Small Ringmain HPU,HE125-2,Galena Park,17857052-001,"Hydraulic Power Unit, Complete;HE125-2-150VHP-D174-150VHP-1400G-AC;2000 HP Ideal Rig HPU;NOV;NOV;Land;Max HP 250 (125 x 2) Diesel 174 HP",1,"$100,000.00 "
,Hydraulic Power Units,,,Kristiansand,16118813-001,NOR WIP;-;-;D1110;HYDRAULIC POWER UNIT (HPU);G3733;Hydraulic Power Unit;H3700,1,"$200,000.00 "
18,Iron Roughneck,,,Norway Repair Center,162949+71,CLAMP CYLINDER,3,"$6,804 "
,Iron Roughnecks,,,Houston Repair Center,16655379-001,"Kit;Retrofit;KIT, SW MOTOR UPGRADE, 16625710;Iron Roughnecks;ST-160",8,"$26,509 "
,Iron Roughnecks,,,Norway Repair Center,XD1100A0848,"Guide, Proprietary;Slide guide Retrofitted installation;Iron Roughnecks;1674x464x696",5,"$8,726 "
19,Lifting Accessory,,,Norway Repair Center,18456924-001,Shackle;H-Type;Bolt Type;Size 80 mm;Pin Dia 49 mm;,6,"$1,856 "
20,Measuring & Testing Equipment,,,Norway Repair Center,17858641-001,LOADBOLT 750t DUAL LS-3410-SP -STRAIGHT,1,"$11,244 "
,Measuring & Testing Equipment,,,Norway Repair Center,17858641-002,"LOADBOLT 750T DUAL, -90DEG",1,"$11,244 "
21,Mobile Rig,,,Victoria,10286710-001,"Block Accessory;73A 150T 30"" Sheave 1"" W.L., API 8C",1,"$51,500.00 "
,Mobile Rig,,,Victoria,10285951-001,"Lifting Accessory;Spare Part;Traveling Block With 24"" Sheaves, 1"" Wire Line;WorkLim 125 sTon",1,"$58,710.00 "
,Mobile Rig,NOV C Series,,Victoria,16977348-001,"Mast Assembly;API 4F - 4th Edition;MastHt 116 ft;MastCap 250 kips;H-Style Mast;Dual Scoping Cylinder;Square Profile Mast Legs;MAST MODULE, 116-250, 4TH EDITION",2,"$181,975.01 "
22,Motion Compensation,,,Kristiansand,16524141-001,"Air Compressor, Proprietary;High Pressure, 300Bar / WP 5000, 140Nm3/H;Motion Compensation;140NM3/H,440V,60HZ, 300 Bar;Motor 55 KW;According to purchase specification: 78100072",3,"$50,000.00 "
,Motion Compensation,,,Kristiansand,17849877-001,"Cylinder Assembly;Hydraulic,Custom;Barrel 450 mm;Stroke 7620 mm;Not Certified;Motion Compensation;Dead Line Compensator;Rod Dia 200 mm",1,"$50,000.00 "
,Motion Compensation,,,Kristiansand,17850241-001,"Accumulator, Proprietary;ACCUMULATOR, PISTONLESS, LOW PRESSURE;600 L;Motion Compensation;Dead line compensator;25 bars;Bore 340 mm, Length 3300 mm",2,"$10,000.00 "
,Motion Compensation,,,Kristiansand,11077168-001,"Valve Assembly;Isolation Valve 10"";Multiple Product Lines;ABS + CDS;Max 218 bars;MCV-1008-D-06",1,"$20,000.00 "
,Motion Compensation,,,Kristiansand,17855768-001,"Cylinder Assembly;Hydraulic,Double Rod;Barrel 280 mm;Stroke 7700 mm;Not Certified;Motion Compensation;Dead Line Compensator;Rod Dia 200 mm",1,"$30,000.00 "
,Motion Compensation,,,Kristiansand,17850239-001,"Accumulator, Proprietary;ACCUMULATOR, PISTON, HIGH PRESSURE;1200 L;Motion Compensation;Dead line compensator;250 bars;Bore 480 mm, Stroke 6700 mm",2,"$20,000.00 "
,Motion Compensation,,,Kristiansand,17850238-001,"Cylinder Assembly;Hydraulic,Custom;Barrel 450 mm;Stroke 7620 mm;Not Certified;Motion Compensation;Dead Line Compensator;Rod Dia 200 mm",1,"$50,000.00 "
,Motion Compensation,,,Kristiansand,10982027-001,"Valve, Proprietary;Control;ISOLATION VALVE 10"", OLMSTED;Conn 1 ISO 6164 Flange, Heavy, 10.000 in;Conn 2 ISO 6164 Flange, Heavy, 8.000 in;Motion Compensation;MCV-1008-D-EP-10;Conn 3 ISO 6164 Flange, Heavy, 8.000 in",1,"$25,000.00 "
23,Motors,AC Drill Motors,CM632,Houston 529,17860410-201,Motor;DRAWWORKS CM632XUT-156;600 V;2000 HP;800 RPM(rev/min);40.5 Hz;Not Available,2,"$146,000.00 "
24,Mud Pumps,Triplex Pumps,14-P-220,Houston 529,10672332-002,"Mud Pump, Complete;14-P-220;Pump Complete;Estaleiro Enseada do Paraguacu Ltda.;Atlas II;160773-1;01-805-1245;12562-H to 12565-H",1,"$815,000.00 "
,Mud Pumps,Triplex Pumps,14-P-220,Houston 529,10018535-001,"Shaft, Proprietary;Assembly, Bal Forged Crank And Lapped Gear;Max OD 16.133 in;L 83.583 in;Mud Pumps;14-P-220;BOM",1,"$165,000.00 "
,Mud Pumps,Triplex Pumps,14-P-220,Houston 529,10018231-001,Crankshaft;Forged;Mud Pumps;14-P-220;Matl Steel,5,"$90,000.00 "
25,Overhead/Traveling Equipment,Traveling Blocks,,Galena Park,11360393-001,"Component, Rotary Table;Travelling Block LSnow;YC450",2,"$71,000.00 "
26,Pipe Handling,Parallel Column,HR-IV-ER,Kristiansand,16124719-001,NOR WIP;-;-;D1213;HYDRARACKER IV;L6515;HydraRacker IV-ER Main Well;K6500,1,"$634,646.45 "
,Pipe Handling,Parallel Column,HR-IV-ER,Kristiansand,16124720-001,NOR WIP;-;-;D1213;HYDRARACKER IV;L6516;HydraRacker IV-ER Aux Well;K6500,1,"$443,803.61 "
,Pipe Handling,,,Kristiansand,16118801-001,NOR WIP;-;-;D1183;DRILL FLOOR MANIPULATOR ARM P;G3717;Drillfloor Manipulator Arm (DFMA) (ON HOLD);H3700,1,"$259,890.88 "
,Pipe Handling,Manipulator Arms,,Kristiansand,11079312-001,"NOR;HYD CYLINDER WLT A, 225 KIPS;Kristiansand Drilling",2,"$103,186.72 "
,Pipe Handling,Manipulator Arms,,Kristiansand,11107467-001,"NOR;HYD CYLINDER WLT B, 225 KIPS;Kristiansand Drilling",2,"$103,186.72 "
,Pipe Handling,Tubular Shuttles,Pipecat FX,Mexicali,17828880-001,Kit;Electrical;standard electrical kit for PFX (no console);Pipe Handling;Pipecat FX,2,"$36,169.86 "
,Pipe Handling,Tubular Shuttles,,Mexicali,11470559-001,"Component, Pipe Handling;WELDMENT, CARRIER, SUPERCAT",1,"$52,255.33 "
,Pipe Handling,Tubular Shuttles,Pipecat FX,Mexicali,11475298-001,"Component, Pipe Handling;WLDMT, LIFTING LEG, PIPECAT FX;PIPECAT FX",1,"$30,349.11 "
,Pipe Handling,Tubular Shuttles,Pipecat FX,Mexicali,11470532-001,"Component, Pipe Handling;V-DOOR MAIN SECTION;PIPECAT FX",1,"$25,769.02 "
,Pipe Handling,Parallel Column,,West Little York,10381986-001,"Component, Pipe Handling;Chassis, Lower Drive, Casting;PRS-3I",1,"$38,502.62 "
27,Power Generation & Distribution,,,Norway Repair Center,11402300-007,"GEARBOX, W/BRAKE AND PINION, RAL1006",3,"$6,847 "
28,Power Swivels,,S-85,Mexicali,11325521-002,Power Swivel;S-85 (2.5);Right Stem;No Brake;with standard QD's,3,"$46,187.37 "
,Power Swivels,,,Mexicali,11325744-001,"Engine, Diesel;Mercedes-Benz;200HP T4F",3,"$45,681.90 "
,Power Swivels,,,Mexicali,10361156-001,Engine;Module;Cummins;240;T3;Air Controls;Standard;Power Swivel,1,"$47,339.23 "
,Power Swivels,,,Mexicali,17795915-001,Trailer;Gooseneck  Assembly;Power Swivel;GNT FOR PS-2.5 POWER SWIVEL,1,"$32,495.08 "
29,Power Systems,AC Power System,,Houston 529,18438562-001,General MRO;8815 2000hp Ideal VFD House,1,"$629,969.54 "
,Power Systems,,,Houston 529,18438773-001,Semi-Finished;8815 2000hp Ideal Cabin,1,"$521,393.48 "
,Power Systems,,,Houston 529,18438772-001,Semi-Finished;8815 2000hp Ideal LER House,1,"$343,994.23 "
,Power Systems,AC Power System,,Houston 529,17841312-001,Power System;AC Power System;VFD-880;No Certification;TDS-11HD;TDS-11HD/SH CONTAINER,1,"$150,000.00 "
,Power Systems,AC Power System,,Houston 529,16553503-001,Power System;AC Power System;VFD-800;No Certification;TDS-11SH;NOV-ORANGE;Land,1,"$150,000.00 "
,Power Systems,AC Power System,,Houston 529,10507757-001,House Assembly;VFD;LxWxH 174X84X91.9;Wall A/C;End Plugboard;WHITE,2,"$150,000.00 "
,Power Systems,,,Houston 529,18438770-001,Semi-Finished;8815 2000hp Ideal LER Lineup,1,"$100,080.14 "
,Power Systems,,,Houston 529,18438686-001,Semi-Finished;8815 2000hp Ideal VFD Lineup,1,"$76,679.87 "
,Power Systems,,,Houston 529,18048146-001,Air Conditioner (A/C);Roof;29 tonne;AC 460 V;60 Hz;Ph 3;With Heater;Not Pressurized,4,"$50,000.00 "
,Power Systems,AC Power System,,Houston 529,18603862-001,"Transformer, Power;Power;Three Phase;1250000.0 VA;Prim 600 V;Secd 480 V;Prim Delta;Secd Delta",2,"$40,487.00 "
30,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10825087-001,"Riser Joint Assembly;FT-H;OD 21"";L 75 ft;Wall 0.938 in;Buoyant Assembly;Cert ABS;DRating 10000 ft",21,"$348,028.33 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10822877-004,"Riser Joint Assembly;FT-H;OD 21"";L 75 ft;Wall 0.875 in;Buoyant Assembly;Cert ABS;DRating 8000 ft",26,"$304,445.54 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10822877-001,"Riser Joint Assembly;FT-H;OD 21"";L 75 ft;Wall 0.875 in;Buoyant Assembly;Cert ABS; DRating 2000 ft",21,"$274,960.48 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10681554-001,"Riser Joint Assembly;FT-H;OD 21"";L 5 ft;Wall .938 in;Pup Assembly;Cert ABS;ChokeOD 6.5 in",2,"$115,501.60 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10822877-003,"Riser Joint Assembly;FT-H;OD 21"";L 75 ft;Wall 0.875 in;Buoyant Assembly;Cert ABS;DRating 6000 ft",26,"$291,564.60 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10681556-001,"Riser Joint Assembly;FT-H;OD 21"";L 10 ft;Wall 0.938 in;Pup Assembly;Cert ABS;ChokeOD 6.5 in",2,"$120,801.30 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10681559-001,"Riser Joint Assembly;FT-H;OD 21"";L 20 ft;Wall 0.938 in;Pup Assembly;Cert ABS;ChokeOD 6.5 in",2,"$132,879.38 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10822877-002,"Riser Joint Assembly;FT-H;OD 21"";L 75 ft;Wall 0.875 in;Buoyant Assembly;Cert ABS;DRating 4000 ft",26,"$282,461.79 "
